order_id,product_id,quantity,price,discount
ORD_10001,PROD_203,3,540,10%
ORD_10001,PROD_220,3,1061,5%
ORD_10001,PROD_177,3,929,0%
ORD_10002,PROD_105,3,1664,10%
ORD_10002,PROD_227,3,592,5%
ORD_10002,PROD_266,1,2232,0%
ORD_10003,PROD_119,2,1798,5%
ORD_10004,PROD_155,2,1380,0%
ORD_10005,PROD_226,2,729,0%
ORD_10005,PROD_338,1,3101,0%
ORD_10005,PROD_328,3,1855,0%
ORD_10005,PROD_80,2,422,15%
ORD_10006,PROD_213,2,585,0%
ORD_10006,PROD_159,1,2819,5%
ORD_10007,PROD_35,3,812,0%
ORD_10007,PROD_262,1,1884,5%
ORD_10008,PROD_198,2,1658,5%
ORD_10008,PROD_47,3,3096,0%
ORD_10008,PROD_152,2,657,0%
ORD_10008,PROD_194,3,439,10%
ORD_10009,PROD_24,2,2773,20%
ORD_10009,PROD_85,1,285,10%
ORD_10009,PROD_48,2,2499,0%
ORD_10009,PROD_339,1,235,20%
ORD_10010,PROD_336,1,2607,0%
ORD_10010,PROD_262,2,2264,0%
ORD_10010,PROD_161,2,2503,0%
ORD_10010,PROD_115,2,3111,0%
ORD_10011,PROD_249,1,1465,0%
ORD_10011,PROD_162,1,2026,0%
ORD_10011,PROD_74,3,2280,20%
ORD_10011,PROD_121,2,1322,15%
ORD_10012,PROD_216,2,844,0%
ORD_10012,PROD_8,3,2317,5%
ORD_10012,PROD_110,3,1129,10%
ORD_10013,PROD_219,1,3093,20%
ORD_10014,PROD_59,1,541,0%
ORD_10014,PROD_83,2,1034,0%
ORD_10014,PROD_266,2,758,0%
ORD_10014,PROD_36,1,3117,0%
ORD_10015,PROD_213,1,371,10%
ORD_10015,PROD_125,3,1015,0%
ORD_10015,PROD_19,1,1512,10%
ORD_10016,PROD_319,2,293,5%
ORD_10016,PROD_209,1,2946,0%
ORD_10017,PROD_307,2,1188,15%
ORD_10017,PROD_4,3,3042,0%
ORD_10017,PROD_170,1,2396,10%
ORD_10017,PROD_321,1,1308,0%
ORD_10018,PROD_209,1,2366,20%
ORD_10019,PROD_153,2,509,0%
ORD_10019,PROD_40,2,1796,0%
ORD_10019,PROD_155,1,2341,15%
ORD_10019,PROD_307,1,980,5%
ORD_10020,PROD_254,1,2746,0%
ORD_10021,PROD_149,1,940,10%
ORD_10021,PROD_267,3,1977,0%
ORD_10021,PROD_302,2,819,0%
ORD_10022,PROD_109,1,2691,0%
ORD_10022,PROD_169,2,1976,0%
ORD_10023,PROD_251,1,2082,0%
ORD_10023,PROD_223,3,1363,20%
ORD_10023,PROD_268,2,986,10%
ORD_10023,PROD_55,3,2015,20%
ORD_10024,PROD_190,1,2185,5%
ORD_10025,PROD_240,2,2527,20%
ORD_10025,PROD_238,1,381,5%
ORD_10026,PROD_124,1,956,5%
ORD_10027,PROD_206,1,2069,20%
ORD_10027,PROD_125,3,336,0%
ORD_10027,PROD_21,3,1964,10%
ORD_10027,PROD_137,3,1448,20%
ORD_10028,PROD_209,2,1618,0%
ORD_10029,PROD_330,3,2001,0%
ORD_10029,PROD_65,3,2213,5%
ORD_10030,PROD_11,3,3186,15%
ORD_10030,PROD_174,1,2617,0%
ORD_10031,PROD_145,2,2983,0%
ORD_10031,PROD_126,1,2036,0%
ORD_10031,PROD_61,2,2412,10%
ORD_10032,PROD_226,2,891,20%
ORD_10033,PROD_82,1,2108,0%
ORD_10034,PROD_116,3,856,20%
ORD_10035,PROD_181,1,1599,10%
ORD_10035,PROD_293,3,2709,0%
ORD_10035,PROD_240,2,608,20%
ORD_10035,PROD_341,3,1463,20%
ORD_10036,PROD_320,1,2101,0%
ORD_10036,PROD_169,2,1394,0%
ORD_10037,PROD_340,2,314,5%
ORD_10037,PROD_12,3,1757,20%
ORD_10037,PROD_323,3,2657,0%
ORD_10037,PROD_324,2,3123,0%
ORD_10038,PROD_190,1,2992,0%
ORD_10039,PROD_61,1,2544,15%
ORD_10039,PROD_313,1,2225,10%
ORD_10039,PROD_120,2,2636,0%
ORD_10039,PROD_28,2,956,15%
ORD_10040,PROD_131,1,1511,0%
ORD_10041,PROD_304,3,1243,10%
ORD_10042,PROD_88,1,2405,15%
