order_id,customer_id,order_date,order_value,payment_method,status,city
ORD_10001,CUST_8269,2024-04-21,547,Netbanking,Delivered,Chennai
ORD_10002,CUST_8355,2024-01-13,996,Netbanking,Delivered,Hyderabad
ORD_10003,CUST_7965,2024-02-10,4180,UPI,Delivered,Mumbai
ORD_10004,CUST_8943,2024-01-28,1995,Netbanking,Delivered,Chennai
ORD_10005,CUST_1783,2023-12-31,2428,UPI,Delivered,Delhi
ORD_10006,CUST_6997,2024-04-28,5220,Netbanking,Cancelled,Chennai
ORD_10007,CUST_3198,2024-04-14,4585,Netbanking,Cancelled,Kolkata
ORD_10008,CUST_8078,2024-01-07,3559,COD,Cancelled,Pune
ORD_10009,CUST_7081,2024-02-27,3729,Card,Delivered,Mumbai
ORD_10010,CUST_8653,2023-12-25,1364,COD,Cancelled,Delhi
ORD_10011,CUST_3988,2024-03-15,2090,Card,Delivered,Hyderabad
ORD_10012,CUST_3872,2023-12-21,527,UPI,Delivered,Mumbai
ORD_10013,CUST_5447,2024-02-07,3819,COD,Delivered,Delhi
ORD_10014,CUST_6919,2024-05-10,3747,Netbanking,Delivered,Bangalore
ORD_10015,CUST_2193,2024-02-20,2448,Card,Cancelled,Chennai
ORD_10016,CUST_3227,2024-01-05,866,Netbanking,Delivered,Chennai
ORD_10017,CUST_6446,2024-03-24,4043,COD,Delivered,Delhi
ORD_10018,CUST_5993,2024-03-22,4621,UPI,Delivered,Mumbai
ORD_10019,CUST_6082,2024-06-01,3928,UPI,Delivered,Delhi
ORD_10020,CUST_2511,2024-05-14,1319,Card,Returned,Mumbai
ORD_10021,CUST_4358,2023-12-21,1593,Netbanking,Delivered,Delhi
ORD_10022,CUST_5734,2024-01-16,4822,Card,Delivered,Kolkata
ORD_10023,CUST_1718,2024-02-24,4982,COD,Delivered,Pune
ORD_10024,CUST_7588,2024-03-18,816,Netbanking,Delivered,Chennai
ORD_10025,CUST_3458,2023-12-16,4735,COD,Delivered,Hyderabad
ORD_10026,CUST_4551,2024-05-09,3641,Netbanking,Cancelled,Mumbai
ORD_10027,CUST_5922,2024-02-02,4144,Card,Delivered,Hyderabad
ORD_10028,CUST_1909,2024-01-16,4096,UPI,Returned,Hyderabad
ORD_10029,CUST_1355,2023-12-28,4511,COD,Delivered,Delhi
ORD_10030,CUST_5454,2024-04-07,2751,Netbanking,Delivered,Chennai
ORD_10031,CUST_1488,2024-04-12,370,Netbanking,Delivered,Pune
ORD_10032,CUST_6707,2024-02-06,2954,COD,Cancelled,Bangalore
ORD_10033,CUST_5000,2024-04-21,4199,UPI,Delivered,Pune
ORD_10034,CUST_7355,2023-12-25,3786,UPI,Delivered,Delhi
ORD_10035,CUST_8784,2024-02-19,4947,COD,Delivered,Kolkata
ORD_10036,CUST_2959,2024-05-26,4971,Netbanking,Delivered,Chennai
ORD_10037,CUST_8703,2023-12-23,2959,Card,Cancelled,Bangalore
ORD_10038,CUST_1020,2024-01-21,3009,Netbanking,Delivered,Delhi
ORD_10039,CUST_5432,2023-12-15,3713,Netbanking,Delivered,Delhi
ORD_10040,CUST_7612,2024-05-20,2410,COD,Returned,Kolkata
ORD_10041,CUST_6931,2024-01-19,1355,Card,Delivered,Hyderabad
ORD_10042,CUST_1931,2024-03-10,493,Card,Delivered,Pune
ORD_10043,CUST_6063,2024-03-20,3572,COD,Delivered,Kolkata
ORD_10044,CUST_1557,2024-04-16,1020,COD,Delivered,Kolkata
ORD_10045,CUST_2044,2024-02-17,3341,UPI,Returned,Delhi
ORD_10046,CUST_7809,2024-01-07,688,Netbanking,Delivered,Hyderabad
ORD_10047,CUST_1324,2024-04-06,4755,UPI,Cancelled,Hyderabad
ORD_10048,CUST_5443,2024-01-02,3783,UPI,Delivered,Mumbai
ORD_10049,CUST_1072,2023-12-09,534,COD,Returned,Mumbai
ORD_10050,CUST_8759,2024-02-04,317,Card,Delivered,Delhi
ORD_10051,CUST_6974,2024-03-09,1051,COD,Delivered,Hyderabad
ORD_10052,CUST_4285,2024-02-25,5030,UPI,Delivered,Kolkata
ORD_10053,CUST_3004,2024-01-21,4438,Card,Cancelled,Bangalore
ORD_10054,CUST_7717,2024-04-28,2962,Card,Returned,Chennai
ORD_10055,CUST_6803,2024-05-26,1483,UPI,Returned,Kolkata
ORD_10056,CUST_6878,2024-05-06,3873,UPI,Returned,Bangalore
ORD_10057,CUST_2368,2024-03-10,1285,UPI,Delivered,Kolkata
ORD_10058,CUST_3677,2024-04-07,4064,COD,Delivered,Hyderabad
ORD_10059,CUST_2763,2023-12-05,3743,UPI,Delivered,Delhi
ORD_10060,CUST_2046,2024-04-16,2630,UPI,Delivered,Mumbai
ORD_10061,CUST_3395,2024-04-09,4588,UPI,Returned,Hyderabad
ORD_10062,CUST_2629,2024-04-07,1414,UPI,Delivered,Hyderabad
ORD_10063,CUST_6680,2024-03-18,1086,Netbanking,Delivered,Delhi
ORD_10064,CUST_7405,2024-04-13,4541,COD,Delivered,Kolkata
ORD_10065,CUST_3075,2024-01-30,1440,COD,Cancelled,Pune
ORD_10066,CUST_7407,2023-12-14,2838,COD,Delivered,Hyderabad
ORD_10067,CUST_5713,2024-05-13,3960,Netbanking,Delivered,Mumbai
ORD_10068,CUST_8107,2024-04-05,586,Card,Delivered,Hyderabad
ORD_10069,CUST_5103,2024-04-18,3532,Card,Delivered,Kolkata
ORD_10070,CUST_1158,2023-12-07,4237,Netbanking,Delivered,Bangalore
ORD_10071,CUST_4666,2024-01-02,4136,COD,Delivered,Chennai
ORD_10072,CUST_3142,2024-05-14,1433,Card,Delivered,Chennai
ORD_10073,CUST_6997,2024-03-13,3093,Netbanking,Cancelled,Chennai
ORD_10074,CUST_3903,2024-05-25,4375,UPI,Delivered,Kolkata
ORD_10075,CUST_7099,2023-12-22,2363,Card,Delivered,Chennai
ORD_10076,CUST_4279,2024-04-22,2694,Netbanking,Delivered,Chennai
ORD_10077,CUST_8496,2024-04-12,1062,Card,Delivered,Hyderabad
ORD_10078,CUST_1440,2023-12-22,1942,COD,Delivered,Delhi
ORD_10079,CUST_6561,2024-03-03,1480,Netbanking,Delivered,Pune
ORD_10080,CUST_8546,2024-01-18,1708,COD,Cancelled,Bangalore
ORD_10081,CUST_3268,2024-05-15,2982,Netbanking,Delivered,Pune
ORD_10082,CUST_2692,2023-12-29,4680,COD,Cancelled,Pune
ORD_10083,CUST_4764,2024-02-01,4390,UPI,Cancelled,Bangalore
ORD_10084,CUST_6769,2024-05-02,1854,UPI,Delivered,Pune
ORD_10085,CUST_5001,2024-04-29,2026,UPI,Delivered,Kolkata
